genre,media_score
Action,6.212320574162679
Adventure,6.295238095238095
Animation,6.772835820895523
Biography,7.036951501154735
Comedy,6.200091240875913
Crime,6.680996309963099
Drama,6.698228882833788
Family,6.363636363636363
Fantasy,6.006976744186047
Horror,5.785667752442997
Music,7.2
Musical,8.05
Mystery,6.665000000000001
Romance,6.5
Sci-Fi,6.3875
Sport,5.9
Thriller,6.0249999999999995
Western,5.666666666666667
